id,book_name,char,caption,content
1,In Search of the Castaways,Jacques Paganel,,"At twelve, Jacques Paganel fell in love with geography after reading Captain Cook’s nautical journal; with a homemade telescope he studied the stars and papered his bedroom walls with maps he drew himself, earning his father’s scolding for neglecting “serious” pursuits."
2,In Search of the Castaways,Jacques Paganel,,"Caught secretly studying Latin in the church school, he was made to stand as punishment, yet the episode let him befriend a Spanish-speaking caretaker and pick up basic Spanish while helping the man compose letters."
3,In Search of the Castaways,Jacques Paganel,,"After his mother died he quarrelled with his father and left home, carrying the Polynesian nautical charts she had bequeathed to him."
4,In Search of the Castaways,Jacques Paganel,,"Sitting in on lectures uninvited, he was thrown out after shouting “The secret is on the 37th southern parallel!” while the professor explained Earth’s equatorial bulge."
5,In Search of the Castaways,Jacques Paganel,,"During an Algerian geological survey he shielded a box of specimens in a sand-storm, was struck on the head and afterwards often mixed up dates and directions."
6,In Search of the Castaways,Jacques Paganel,,"In a Marseille waterfront bar he met young Captain Grant; a fierce argument over Magellan Strait tides almost came to blows, but ended in mutual respect and an exchange of pocket-watches."
7,In Search of the Castaways,Jacques Paganel,,"Leading a scientific party he insisted on travelling light, leaving the team short of supplies; he watched three members die of malaria and thereafter kept a bulging backpack wherever he went."
8,In Search of the Castaways,Jacques Paganel,,While being helped by a native tribe he won their trust by sketching star-maps and in return learned tracking techniques and herbal lore.
9,In Search of the Castaways,Jacques Paganel,,"He accidentally slipped a farewell letter to his French sweetheart into an academic report; the romance ended, yet the Academy of Sciences praised the document."
10,In Search of the Castaways,Jacques Paganel,,While recording thirty-two dialects along the Murray River he was expelled by British colonists; after his notes were burned he vowed to “measure every hidden truth with my own feet.”
11,In Search of the Castaways,Jacques Paganel,,One night he saw first mate Ayrton secretly meet slave-traders; while shadowing them he was slashed across the left forearm with a dagger.
12,In Search of the Castaways,Jacques Paganel,,He declined to take part in charting the maiden voyage of the Britannia; when news of her wreck arrived he filled three diary pages with the sentence “I could have prevented it.”
13,In Search of the Castaways,Jacques Paganel,,His deference to Lady Glenarvan echoed the tangled feelings he had once held for his mother; by becoming the expedition’s “living map” he tried to atone for failing to protect her.
14,In Search of the Castaways,Jacques Paganel,,Mutual recognition with Major McNabbs: both had lived among the Charrúa and confirmed their identities by exchanging certain hand signs.
15,In Search of the Castaways,Jacques Paganel,,Calm before cannibals: his Amazon years taught him to gauge a tribe’s degree of civilization by studying the bone ornaments they wore.
16,In Search of the Castaways,Jacques Paganel,,"Born in Calcutta to a British merchant family, his father kept the accounts for the East India Company and his mother was a French nurse."
17,In Search of the Castaways,Jacques Paganel,,"His father died early; his mother remarried a French officer, so the boy grew up fluent in English and French, later adding Spanish from an English tutor."
18,In Search of the Castaways,Jacques Paganel,,"He once found bribery entries in his father’s old ledgers, reported them, and saw his father’s colleague dismissed; temporary gossip made him wary of the upper nobility."
19,In Search of the Castaways,Jacques Paganel,,Because he spoke both French and English he was posted to a Mediterranean merchant fleet where he learned basic seamanship and celestial navigation.
20,In Search of the Castaways,Jacques Paganel,,After a failed attempt to save a drowning comrade he was injured; the naval commander’s praise when he recovered left him with a strong sense of duty toward rescue.
21,In Search of the Castaways,Jacques Paganel,,"The Royal Navy frigate HMS Austin, bound for Australia and New Zealand under Lieutenant Grant, quietly promoted the sympathetic young sailor to ship’s assistant."
22,In Search of the Castaways,Jacques Paganel,,"He secretly helped anti-colonial groups ferry medicine and supplies to civilians, adopted the creed of “quiet chivalry for the weak,” and came into possession of Spanish-American rebel correspondence that sharpened his knowledge of Southern-Hemisphere geography."
23,In Search of the Castaways,Jacques Paganel,,"After his mother died she entrusted him with the care of his toddler half-brother; the child was later taken to Europe by the French stepfather and never heard from again, leaving Paganel with a lifelong dread of “separation by life and death.”"
24,In Search of the Castaways,Jacques Paganel,,"He proposed a South-American trade route to the naval board, was transferred to London and recommended for a berth on Captain Grant’s new ship Brittany."
25,In Search of the Castaways,Jacques Paganel,,On the eve of sailing aboard Duncan he met ex-General von Wallace and obtained notes on South-American inland geography and native customs.
26,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"Born in Liverpool’s slums to an alcoholic sailor father and a mother who died of tuberculosis while he was young, he watched his father be transported for smuggling and then endured an orphanage where nuns pilfered relief supplies, teaching him to despise authority."
27,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"At twelve he ran away to the docks, worked as a porter and lost hearing in his left ear after a beating for secretly poring over a captain’s charts."
28,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"The mate of the merchant Emerald Bird took him on and taught him navigation; off the Cape the captain pocketed the cargo-insurance money and framed the mate, forcing Ayrton to give false testimony and first taste “legalised plunder.”"
29,In Search of the Castaways,Tom Ayrton/Ben Joyce,,The night before the mate was hanged he pressed a dagger engraved with his family crest into the boy’s hand.
